State,City,Year,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ALABAMA,BIRMINGHAM,2016,212549,1732,44,75,460,1153,5875,1318,3807,750,76
ALABAMA,MOBILE,2016,249921,793,18,47,181,547,5169,1100,3724,345,45
ALABAMA,MONTGOMERY,2016,199565,563,18,42,187,316,4229,1043,2790,396,35
ALASKA,ANCHORAGE,2016,299097,1692,9,302,326,1055,6853,1031,4901,921,38
ARIZONA,CHANDLER,2016,265922,272,1,61,69,141,2987,453,2373,161,8
ARIZONA,GLENDALE,2016,242938,591,16,57,227,291,6683,975,5136,572,21
ARIZONA,MESA,2016,478277,1069,12,146,210,701,5517,1010,4090,417,21
ARIZONA,SCOTTSDALE,2016,240885,197,2,55,59,81,2904,356,2436,112,8
ARIZONA,SURPRISE,2016,130679,65,3,6,23,33,1146,162,908,76,2
ARIZONA,TEMPE,2016,178654,437,3,73,108,253,4050,599,3234,217,20
ARKANSAS,LITTLE ROCK,2016,198800,1421,16,82,305,1018,6597,1102,4952,543,27
CALIFORNIA,ANAHEIM,2016,353504,620,4,70,183,363,5151,759,3677,715,17
CALIFORNIA,ANTIOCH,2016,112090,396,7,25,165,199,1756,367,883,506,27
CALIFORNIA,BAKERSFIELD,2016,378788,923,23,31,289,580,8264,1932,4898,1434,151
CALIFORNIA,BERKELEY,2016,122651,262,0,27,151,84,2637,437,1888,312,20
CALIFORNIA,BURBANK,2016,105720,104,0,11,23,70,1358,202,1038,118,8
CALIFORNIA,CARLSBAD,2016,115040,89,0,18,25,46,1137,192,863,82,4
CALIFORNIA,CHULA VISTA,2016,270175,313,0,25,90,198,2125,332,1391,402,17
CALIFORNIA,CLOVIS,2016,105865,131,2,18,35,76,1506,215,1178,113,3
CALIFORNIA,CONCORD,2016,129903,221,1,14,75,131,2116,227,1374,515,8
CALIFORNIA,CORONA,2016,166534,95,1,24,45,25,1866,384,1133,349,11
CALIFORNIA,COSTA MESA,2016,113816,203,0,28,72,103,2516,415,1769,332,19
